date,home_team,away_team,competition
2025-05-02,Leeds,Burnley,EPL
2025-05-02,Brentford,West Ham,EPL
2025-05-02,Newcastle,Brighton,EPL
2025-05-02,Wolves,Sunderland,EPL
2025-05-03,Arsenal,Fulham,EPL
2025-05-03,Bournemouth,Crystal Palace,EPL
2025-05-03,Man United,Liverpool,EPL
2025-05-04,Aston Villa,Tottenham,EPL
2025-05-04,Chelsea,Nottingham Forest,EPL
2025-05-05,Everton,Man City,EPL

2025-05-09,Liverpool,Chelsea,EPL
2025-05-09,Brighton,Wolves,EPL
2025-05-09,Fulham,Bournemouth,EPL
2025-05-09,Sunderland,Man United,EPL
2025-05-10,Man City,Brentford,EPL
2025-05-10,Burnley,Aston Villa,EPL
2025-05-10,Crystal Palace,Everton,EPL
2025-05-10,Nottingham Forest,Newcastle,EPL
2025-05-10,West Ham,Arsenal,EPL
2025-05-12,Tottenham,Leeds,EPL

2025-05-17,Bournemouth,Man City,EPL
2025-05-17,Aston Villa,Liverpool,EPL
2025-05-17,Brentford,Crystal Palace,EPL
2025-05-17,Chelsea,Tottenham,EPL
2025-05-17,Everton,Sunderland,EPL
2025-05-17,Man United,Nottingham Forest,EPL
2025-05-17,Newcastle,West Ham,EPL
2025-05-17,Wolves,Fulham,EPL
2025-05-17,Arsenal,Burnley,EPL
2025-05-17,Leeds,Brighton,EPL

2025-05-24,Brighton,Man United,EPL
2025-05-24,Burnley,Wolves,EPL
2025-05-24,Crystal Palace,Arsenal,EPL
2025-05-24,Fulham,Newcastle,EPL
2025-05-24,Liverpool,Brentford,EPL
2025-05-24,Man City,Aston Villa,EPL
2025-05-24,Nottingham Forest,Bournemouth,EPL
2025-05-24,Sunderland,Chelsea,EPL
2025-05-24,Tottenham,Everton,EPL
2025-05-24,West Ham,Leeds,EPL